episode,reward
1,0
2,0
3,0
4,0
5,0
6,0
7,0.5
8,0
9,0
10,0
11,1
12,1
13,0
14,0
15,1
16,1
17,0
18,0
19,0
20,0
21,0
22,1
23,1
24,0
25,0
26,1
27,0
28,0.5
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,1
39,0
40,0
41,1
42,1
43,1
44,0
45,0
46,0
47,1
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,1
56,0
57,1
58,0
59,1
60,0
61,0
62,0
63,0
64,0
65,0
66,0.5
67,0
68,1
69,0
70,0
71,0
72,1
73,1
74,0
75,0
76,0
77,0.5
78,0
79,1
80,1
81,0
82,1
83,1
84,0
85,0
86,0
87,0
88,1
89,0
90,0
91,0
92,1
93,0
94,0
95,0
96,1
97,0
98,1
99,1
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,1
111,1
112,1
113,0
114,0
115,0.5
116,0
117,1
118,1
119,0
120,0
121,0
122,0
123,1
124,0
125,0
126,1
127,0
128,1
129,0
130,0
131,0
132,0
133,1
134,1
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,1
150,1
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,1
162,0
163,0
164,0
165,1
166,0
167,0
168,0
169,0.5
170,1
171,1
172,1
173,0
174,1
175,1
176,0
177,0.5
178,0.5
179,1
180,1
181,0
182,1
183,0
184,0
185,0
186,0
187,0
188,1
189,1
190,1
191,0.5
192,0.5
193,1
194,0
195,1
196,0
197,0
198,1
199,0
200,1
201,0
202,0
203,0
204,1
205,0
206,0
207,1
208,0.5
209,0
210,0
211,0
212,0
213,0
214,0
215,1
216,0
217,1
218,1
219,1
220,0
221,0
222,0
223,0
224,0
225,0
226,1
227,0
228,0
229,0
230,1
231,0
232,0
233,0
234,0
235,0
236,1
237,0
238,1
239,0
240,0.5
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,1
251,1
252,1
253,0
254,0
255,0
256,0
257,0
258,0
259,1
260,0
261,0.5
262,0
263,0
264,1
265,1
266,0
267,0
268,1
269,0
270,0
271,1
272,0.5
273,0
